YYYYMMDD,SystemsCount,,,,,
20040614,77,,,,,
20040615,78,,,,,
20040616,80,,,,,
20040617,80,,,,,
20040618,76,,,,,
20040621,78,,,,,
20040622,81,,,,,
20040623,166,,,,,
20040624,172,,,,,
20040625,152,,,,,
20040628,102,,,,,
20040629,104,,,,,
20040630,108,,,,,
20040701,114,,,,,
20040702,53,,,,,
20040705,195,,,,,
20040706,143,,,,,
20040707,154,,,,,
20040708,154,,,,,
20040709,129,,,,,
20040712,122,,,,,
20040713,140,,,,,
20040714,123,,,,,
20040715,73,,,,,
20040716,144,,,,,
20040719,99,,,,,
20040720,67,,,,,
20040721,89,,,,,
20040722,65,,,,,
20040723,97,,,,,
20040726,127,,,,,
20040727,134,,,,,
20040728,130,,,,,
20040729,73,,,,,
20040730,79,,,,,
20040802,99,,,,,
20040803,226,,,,,
20040804,226,,,,,
20040805,227,,,,,
20040806,227,,,,,
20040809,229,,,,,
20040810,230,,,,,
20040811,231,,,,,
20040812,232,,,,,
20040813,234,,,,,
20040816,238,,,,,
20040817,241,,,,,
20040818,243,,,,,
20040819,246,,,,,
20040820,246,,,,,
20040823,247,,,,,
20040824,248,,,,,
20040825,249,,,,,
20040826,250,,,,,
20040827,251,,,,,
20040830,253,,,,,
20040831,257,,,,,
20040901,257,,,,,
20040902,260,,,,,
20040903,260,,,,,
20040906,260,,,,,
20040907,260,,,,,
20040908,261,,,,,
20040909,261,,,,,
20040910,262,,,,,
20040913,265,,,,,
20040914,265,,,,,
20040915,267,,,,,
20040916,269,,,,,
20040917,269,,,,,
20040920,269,,,,,
20040921,270,,,,,
20040922,270,,,,,
20040923,271,,,,,
20040924,271,,,,,
20040927,274,,,,,
20040928,274,,,,,
20040929,274,,,,,
20040930,274,,,,,
20041001,276,,,,,
20041004,279,,,,,
20041005,280,,,,,
20041006,282,,,,,
20041007,283,,,,,
20041008,283,,,,,
20041011,283,,,,,
20041012,283,,,,,
20041013,283,,,,,
20041014,284,,,,,
20041015,284,,,,,
20041018,284,,,,,
20041019,284,,,,,
20041020,283,,,,,
20041021,284,,,,,
20041022,284,,,,,
20041025,288,,,,,
20041026,289,,,,,
20041027,289,,,,,
20041028,288,,,,,
20041029,290,,,,,
20041101,290,,,,,
20041102,293,,,,,
20041103,294,,,,,
20041104,294,,,,,
20041105,295,,,,,
20041108,303,,,,,
20041109,302,,,,,
20041110,303,,,,,
20041111,303,,,,,
20041112,303,,,,,
20041115,304,,,,,
20041116,305,,,,,
20041117,305,,,,,
20041118,305,,,,,
20041119,306,,,,,
20041122,306,,,,,
20041123,306,,,,,
20041124,306,,,,,
20041125,305,,,,,
20041126,305,,,,,
20041129,309,,,,,
20041130,309,,,,,
20041201,309,,,,,
20041202,310,,,,,
20041203,311,,,,,
20041206,315,,,,,
20041207,316,,,,,
20041208,317,,,,,
20041209,318,,,,,
20041210,318,,,,,
20041213,318,,,,,
20041214,318,,,,,
20041215,323,,,,,
20041216,329,,,,,
20041217,330,,,,,
20041220,330,,,,,
20041221,332,,,,,
20041222,333,,,,,
20041223,334,,,,,
20041224,336,,,,,
20041227,335,,,,,
20041228,335,,,,,
20041229,335,,,,,
20041230,337,,,,,
20041231,339,,,,,
20050103,339,,,,,
20050104,340,,,,,
20050105,341,,,,,
20050106,341,,,,,
20050107,344,,,,,
20050110,344,,,,,
20050111,344,,,,,
20050112,346,,,,,
20050113,347,,,,,
20050114,348,,,,,
20050117,350,,,,,
20050118,350,,,,,
20050119,350,,,,,
20050120,351,,,,,
20050121,353,,,,,
20050128,1,,,,,
20050131,363,,,,,
20050201,363,,,,,
20050202,365,,,,,
20050203,366,,,,,
20050204,369,,,,,
20050207,373,,,,,
20050208,374,,,,,
20050209,375,,,,,
20050210,377,,,,,
20050211,380,,,,,
20050214,382,,,,,
20050215,383,,,,,
20050216,385,,,,,
20050217,394,,,,,
20050218,398,,,,,
20050221,400,,,,,
20050222,403,,,,,
20050223,405,,,,,
20050224,407,,,,,
20050225,410,,,,,
20050228,413,,,,,
20050301,416,,,,,
20050302,418,,,,,
20050303,422,,,,,
20050304,424,,,,,
20050307,428,,,,,
20050308,392,,,,,
20050309,430,,,,,
20050310,441,,,,,
20050311,447,,,,,
20050314,455,,,,,
20050315,459,,,,,
20050316,462,,,,,
20050317,464,,,,,
20050318,469,,,,,
20050321,477,,,,,
20050322,479,,,,,
20050323,479,,,,,
20050324,484,,,,,
20050325,489,,,,,
20050328,502,,,,,
20050329,505,,,,,
20050330,506,,,,,
20050331,507,,,,,
20050401,510,,,,,
20050404,519,,,,,
20050405,521,,,,,
20050406,524,,,,,
20050407,524,,,,,
20050408,526,,,,,
20050411,542,,,,,
20050412,546,,,,,
20050413,550,,,,,
20050414,551,,,,,
20050415,554,,,,,
20050418,558,,,,,
20050419,562,,,,,
20050420,554,,,,,
20050421,565,,,,,
20050422,568,,,,,
20050425,582,,,,,
20050426,585,,,,,
20050427,585,,,,,
20050428,591,,,,,
20050429,598,,,,,
20050502,605,,,,,
20050503,606,,,,,
20050504,607,,,,,
20050505,609,,,,,
20050506,612,,,,,
20050509,613,,,,,
20050510,614,,,,,
20050511,616,,,,,
20050512,615,,,,,
20050513,621,,,,,
20050516,626,,,,,
20050517,629,,,,,
20050518,630,,,,,
20050519,630,,,,,
20050520,634,,,,,
20050523,636,,,,,
20050524,637,,,,,
20050525,639,,,,,
20050526,640,,,,,
20050527,641,,,,,
20050530,641,,,,,
20050531,643,,,,,
20050601,643,,,,,
20050602,650,,,,,
20050603,653,,,,,
20050606,658,,,,,
20050607,665,,,,,
20050608,665,,,,,
20050609,666,,,,,
20050610,669,,,,,
20050613,677,,,,,
20050614,684,,,,,
20050615,685,,,,,
20050616,686,,,,,
20050617,689,,,,,
20050620,698,,,,,
20050621,701,,,,,
20050622,704,,,,,
20050623,704,,,,,
20050624,710,,,,,
20050627,712,,,,,
20050628,716,,,,,
20050629,715,,,,,
20050630,716,,,,,
20050701,719,,,,,
20050704,725,,,,,
20050705,732,,,,,
20050706,735,,,,,
20050707,737,,,,,
20050708,738,,,,,
20050711,741,,,,,
20050712,752,,,,,
20050713,755,,,,,
20050714,758,,,,,
20050715,761,,,,,
20050718,768,,,,,
20050719,773,,,,,
20050720,780,,,,,
20050721,783,,,,,
20050722,787,,,,,
20050725,796,,,,,
20050726,799,,,,,
20050727,798,,,,,
20050728,800,,,,,
20050729,802,,,,,
20050801,807,,,,,
20050802,812,,,,,
20050803,811,,,,,
20050804,812,,,,,
20050805,813,,,,,
20050808,818,,,,,
20050809,821,,,,,
20050810,824,,,,,
20050811,826,,,,,
20050812,829,,,,,
20050815,834,,,,,
20050816,840,,,,,
20050817,840,,,,,
20050818,843,,,,,
20050819,848,,,,,
20050822,852,,,,,
20050823,858,,,,,
20050824,863,,,,,
20050825,868,,,,,
20050826,872,,,,,
20050829,878,,,,,
20050830,886,,,,,
20050831,890,,,,,
20050901,892,,,,,
20050902,898,,,,,
20050905,902,,,,,
20050906,909,,,,,
20050907,908,,,,,
20050908,917,,,,,
20050909,919,,,,,
20050912,932,,,,,
20050913,462,,,,,
20050914,276,,,,,
20050915,945,,,,,
20050916,952,,,,,
20050919,958,,,,,
20050920,965,,,,,
20050921,964,,,,,
20050922,963,,,,,
20050923,573,,,,,
20050926,972,,,,,
20050927,981,,,,,
20050928,981,,,,,
20050929,687,,,,,
20050930,986,,,,,
20051003,990,,,,,
20051004,995,,,,,
20051005,997,,,,,
20051006,1001,,,,,
20051007,1003,,,,,
20051010,1011,,,,,
20051011,920,,,,,
20051012,1015,,,,,
20051013,1020,,,,,
20051014,1028,,,,,
20051017,1034,,,,,
20051018,1042,,,,,
20051019,1041,,,,,
20051020,1043,,,,,
20051021,1047,,,,,
20051024,1050,,,,,
20051025,1057,,,,,
20051026,1056,,,,,
20051027,1058,,,,,
20051028,1060,,,,,
20051031,1065,,,,,
20051101,1070,,,,,
20051102,1076,,,,,
20051103,1080,,,,,
20051104,1084,,,,,
20051107,1097,,,,,
20051108,1101,,,,,
20051109,1105,,,,,
20051110,1107,,,,,
20051111,1110,,,,,
20051114,1118,,,,,
20051115,1128,,,,,
20051116,1132,,,,,
20051117,1137,,,,,
20051118,1145,,,,,
20051121,1153,,,,,
20051122,1159,,,,,
20051123,1161,,,,,
20051124,1161,,,,,
20051125,1164,,,,,
20051128,1173,,,,,
20051129,1179,,,,,
20051130,1179,,,,,
20051201,1186,,,,,
20051202,1189,,,,,
20051205,1206,,,,,
20051206,1214,,,,,
20051207,1217,,,,,
20051208,1219,,,,,
20051209,1221,,,,,
20051212,1228,,,,,
20051213,1162,,,,,
20051214,1236,,,,,
20051215,1239,,,,,
20051216,1243,,,,,
20051219,1245,,,,,
20051220,1205,,,,,
20051221,1256,,,,,
20051222,1258,,,,,
20051223,1263,,,,,
20051226,1265,,,,,
20051227,1271,,,,,
20051228,1184,,,,,
20051229,1218,,,,,
20051230,1282,,,,,
20060102,1287,,,,,
20060103,1295,,,,,
20060104,1297,,,,,
20060105,1301,,,,,
20060106,1307,,,,,
20060109,1313,,,,,
20060110,1320,,,,,
20060111,1320,,,,,
20060112,1313,,,,,
20060113,1330,,,,,
20060116,1332,,,,,
20060117,1341,,,,,
20060118,1342,,,,,
20060119,1348,,,,,
20060120,1355,,,,,
20060123,1363,,,,,
20060124,1370,,,,,
20060125,1370,,,,,
20060126,1371,,,,,
20060127,1378,,,,,
20060130,1383,,,,,
20060131,1386,,,,,
20060201,1387,,,,,
20060202,1393,,,,,
20060203,1397,,,,,
20060206,1403,,,,,
20060207,1411,,,,,
20060208,1412,,,,,
20060209,1414,,,,,
20060210,1416,,,,,
20060213,938,,,,,
20060214,879,,,,,
20060215,1436,,,,,
20060216,1439,,,,,
20060217,1442,,,,,
20060220,1452,,,,,
20060221,1298,,,,,
20060222,1224,,,,,
20060223,1470,,,,,
20060224,1474,,,,,
20060227,1480,,,,,
20060228,1488,,,,,
20060301,1491,,,,,
20060302,1495,,,,,
20060303,1506,,,,,
20060306,1512,,,,,
20060307,1520,,,,,
20060308,1519,,,,,
20060309,1522,,,,,
20060310,1534,,,,,
20060313,1545,,,,,
20060314,1551,,,,,
20060315,1554,,,,,
20060316,1557,,,,,
20060317,1562,,,,,
20060320,1569,,,,,
20060321,1575,,,,,
20060322,1577,,,,,
20060323,1582,,,,,
20060324,1586,,,,,
20060327,1596,,,,,
20060328,1602,,,,,
20060329,1606,,,,,
20060330,1618,,,,,
20060331,1625,,,,,
20060403,1637,,,,,
20060404,1644,,,,,
20060405,1646,,,,,
20060406,1655,,,,,
20060407,1659,,,,,
20060410,1670,,,,,
20060411,1678,,,,,
20060412,1683,,,,,
20060413,1686,,,,,
20060414,1695,,,,,
20060417,1707,,,,,
20060418,1414,,,,,
20060419,1714,,,,,
20060420,1721,,,,,
20060421,1726,,,,,
20060424,1732,,,,,
20060425,1735,,,,,
20060426,1734,,,,,
20060427,1743,,,,,
20060428,1745,,,,,
20060501,1750,,,,,
20060502,1564,,,,,
20060503,1485,,,,,
20060504,1761,,,,,
20060505,1768,,,,,
20060508,1775,,,,,
20060509,1782,,,,,
20060510,1782,,,,,
20060511,1781,,,,,
20060512,1788,,,,,
20060515,1802,,,,,
20060516,1747,,,,,
20060517,1813,,,,,
20060518,1814,,,,,
20060519,1823,,,,,
20060522,1831,,,,,
20060523,1655,,,,,
20060524,1838,,,,,
20060525,1834,,,,,
20060526,1849,,,,,
20060529,1804,,,,,
20060530,1520,,,,,
20060531,1711,,,,,
20060601,1872,,,,,
20060602,1878,,,,,
20060605,1887,,,,,
20060606,1754,,,,,
20060607,1312,,,,,
20060608,1900,,,,,
20060609,1907,,,,,
20060612,1910,,,,,
20060613,1914,,,,,
20060614,1914,,,,,
20060615,1920,,,,,
20060616,1923,,,,,
20060619,1864,,,,,
20060620,1757,,,,,
20060621,1936,,,,,
20060622,1939,,,,,
20060623,1943,,,,,
20060626,1955,,,,,
20060627,1964,,,,,
20060628,1966,,,,,
20060629,1852,,,,,
20060630,1819,,,,,
20060703,1979,,,,,
20060704,1983,,,,,
20060705,1913,,,,,
20060706,1990,,,,,
20060707,1998,,,,,
20060710,2004,,,,,
20060711,2011,,,,,
20060712,2009,,,,,
20060713,2008,,,,,
20060714,2010,,,,,
20060717,2017,,,,,
20060718,2024,,,,,
20060719,2025,,,,,
20060720,2030,,,,,
20060721,2032,,,,,
20060724,1974,,,,,
20060725,2044,,,,,
20060726,2048,,,,,
20060727,1925,,,,,
20060728,2061,,,,,
20060731,2075,,,,,
20060801,2089,,,,,
20060802,1710,,,,,
20060803,2094,,,,,
20060804,2095,,,,,
20060807,2101,,,,,
20060808,2101,,,,,
20060809,2104,,,,,
20060810,2111,,,,,
20060811,2118,,,,,
20060814,2128,,,,,
20060815,2043,,,,,
20060816,1900,,,,,
20060817,2013,,,,,
20060818,2135,,,,,
20060821,2145,,,,,
20060822,2143,,,,,
20060823,2134,,,,,
20060824,2156,,,,,
20060825,2161,,,,,
20060828,2169,,,,,
20060829,2039,,,,,
20060830,2178,,,,,
20060831,2181,,,,,
20060901,2183,,,,,
20060904,2188,,,,,
20060905,1863,,,,,
20060906,2195,,,,,
20060907,1945,,,,,
20060908,2200,,,,,
20060911,2203,,,,,
20060912,2215,,,,,
20060913,1830,,,,,
20060914,1767,,,,,
20060915,2224,,,,,
20060918,2237,,,,,
20060919,2241,,,,,
20060920,2137,,,,,
20060921,1766,,,,,
20060922,2251,,,,,
20060925,1356,,,,,
20060926,2268,,,,,
20060927,2269,,,,,
20060928,2209,,,,,
20060929,2279,,,,,
20061002,2030,,,,,
20061003,2227,,,,,
20061004,2310,,,,,
20061005,2317,,,,,
20061006,2326,,,,,
20061009,2070,,,,,
20061010,2342,,,,,
20061011,2343,,,,,
20061012,2016,,,,,
20061013,2349,,,,,
20061016,2261,,,,,
20061017,2358,,,,,
20061018,2300,,,,,
20061019,2321,,,,,
20061020,2362,,,,,
20061023,2136,,,,,
20061024,2209,,,,,
20061025,2375,,,,,
20061026,2170,,,,,
20061027,2386,,,,,
20061030,2395,,,,,
20061031,2412,,,,,
20061101,2139,,,,,
20061102,2410,,,,,
20061103,2415,,,,,
20061106,2415,,,,,
20061107,2422,,,,,
20061108,1260,,,,,
20061109,2199,,,,,
20061110,2428,,,,,
20061113,2439,,,,,
20061114,2443,,,,,
20061115,1164,,,,,
20061116,1399,,,,,
20061117,2450,,,,,
20061120,2222,,,,,
20061121,1137,,,,,
20061122,2462,,,,,
20061123,2462,,,,,
20061124,2423,,,,,
20061127,2365,,,,,
20061128,2381,,,,,
20061129,1176,,,,,
20061130,2487,,,,,
20061201,2485,,,,,
20061204,2439,,,,,
20061205,2508,,,,,
20061206,2360,,,,,
20061207,1943,,,,,
20061208,2519,,,,,
20061211,2527,,,,,
20061212,2455,,,,,
20061213,2534,,,,,
20061214,2543,,,,,
20061215,2539,,,,,
20061218,2543,,,,,
20061219,2547,,,,,
20061220,2550,,,,,
20061221,2561,,,,,
20061222,2522,,,,,
20061225,1138,,,,,
20061226,2568,,,,,
20061227,2571,,,,,
20061228,2577,,,,,
20061229,2578,,,,,
20070101,2581,,,,,
20070102,2586,,,,,
20070103,2497,,,,,
20070104,2597,,,,,
20070105,2599,,,,,
20070108,2244,,,,,
20070109,2073,,,,,
20070110,1816,,,,,
20070111,1996,,,,,
20070112,2624,,,,,
20070115,2629,,,,,
20070116,2246,,,,,
20070117,1925,,,,,
20070118,1958,,,,,
20070119,2555,,,,,
20070122,2112,,,,,
20070123,2515,,,,,
20070124,2141,,,,,
20070125,1621,,,,,
20070126,2676,,,,,
20070129,1888,,,,,
20070130,2693,,,,,
20070131,2470,,,,,
20070201,2357,,,,,
20070202,2443,,,,,
20070205,2433,,,,,
20070206,2204,,,,,
20070207,2107,,,,,
20070208,2019,,,,,
20070209,2459,,,,,
20070212,2753,,,,,
20070213,2417,,,,,
20070214,2016,,,,,
20070215,2143,,,,,
20070216,2206,,,,,
20070219,2673,,,,,
20070220,1904,,,,,
20070221,938,,,,,
20070222,2223,,,,,
20070223,2221,,,,,
20070226,2437,,,,,
20070227,1014,,,,,
20070228,1440,,,,,
20070301,805,,,,,
20070302,2814,,,,,
20070305,428,,,,,
20070306,407,,,,,
20070307,2799,,,,,
20070308,1308,,,,,
20070309,1914,,,,,
20070312,952,,,,,
20070313,461,,,,,
20070314,1163,,,,,
20070315,2305,,,,,
20070316,1594,,,,,
20070319,2231,,,,,
20070320,1229,,,,,
20070321,1122,,,,,
20070322,2235,,,,,
20070323,1,,,,,
20070326,2129,,,,,
20070327,2172,,,,,
20070328,1592,,,,,
20070329,1863,,,,,
20070330,1173,,,,,
20070402,1963,,,,,
20070403,1043,,,,,
20070404,586,,,,,
20070405,1984,,,,,
20070406,2845,,,,,
20070409,1896,,,,,
20070410,1215,,,,,
20070411,914,,,,,
20070412,2545,,,,,
20070413,1607,,,,,
20070416,2279,,,,,
20070417,2343,,,,,
20070418,2397,,,,,
20070419,2837,,,,,
20070420,3013,,,,,
20070423,1678,,,,,
20070424,2072,,,,,
20070425,1732,,,,,
20070426,1471,,,,,
20070427,2079,,,,,
20070430,1306,,,,,
20070501,1273,,,,,
20070502,1652,,,,,
20070503,468,,,,,
20070504,2543,,,,,
20070507,1373,,,,,
20070508,658,,,,,
20070509,1064,,,,,
20070510,3091,,,,,
20070511,3091,,,,,
20070514,3100,,,,,
20070515,3103,,,,,
20070516,3104,,,,,
20070517,223,,,,,
20070518,855,,,,,
20070521,3120,,,,,
20070522,3127,,,,,
20070523,3131,,,,,
20070524,3142,,,,,
20070525,3143,,,,,
20070528,3153,,,,,
20070529,3168,,,,,
20070530,3172,,,,,
20070531,3187,,,,,
20070601,3182,,,,,
20070604,3196,,,,,
20070605,3201,,,,,
20070606,3206,,,,,
20070607,3216,,,,,
20070608,3219,,,,,
20070611,3236,,,,,
20070612,3241,,,,,
20070613,3247,,,,,
20070614,3257,,,,,
20070615,3255,,,,,
20070618,3269,,,,,
20070619,3279,,,,,
20070620,3289,,,,,
20070621,3299,,,,,
20070622,1180,,,,,
20070625,3317,,,,,
20070626,3331,,,,,
20070627,3337,,,,,
20070628,3347,,,,,
20070629,3347,,,,,
20070702,3373,,,,,
20070703,3381,,,,,
20070704,3381,,,,,
20070705,3393,,,,,
20070706,3398,,,,,
20070709,3410,,,,,
20070710,3415,,,,,
20070711,3418,,,,,
20070712,3431,,,,,
20070713,3427,,,,,
20070716,3443,,,,,
20070717,3453,,,,,
20070718,3451,,,,,
20070719,3466,,,,,
20070720,3464,,,,,
20070723,3484,,,,,
20070724,3495,,,,,
20070725,3500,,,,,
20070726,3511,,,,,
20070727,3508,,,,,
20070730,3540,,,,,
20070731,3542,,,,,
20070801,3550,,,,,
20070802,3564,,,,,
20070803,3565,,,,,
20070806,3580,,,,,
20070807,3587,,,,,
20070808,3592,,,,,
20070809,3612,,,,,
20070810,3614,,,,,
20070813,3635,,,,,
20070814,3639,,,,,
20070815,3646,,,,,
20070816,3659,,,,,
20070817,3663,,,,,
20070820,3683,,,,,
20070821,3691,,,,,
20070822,3693,,,,,
20070823,3712,,,,,
20070824,3717,,,,,
20070827,3727,,,,,
20070828,3729,,,,,
20070829,3755,,,,,
20070830,3798,,,,,
20070831,3791,,,,,
20070903,3893,,,,,
20070904,3901,,,,,
20070905,3909,,,,,
20070906,3912,,,,,
20070907,3913,,,,,
20070910,3930,,,,,
20070911,3941,,,,,
20070912,3949,,,,,
20070913,3961,,,,,
20070914,3965,,,,,
20070917,3973,,,,,
20070918,3977,,,,,
20070919,3978,,,,,
20070920,3995,,,,,
20070921,3988,,,,,
20070924,4004,,,,,
20070925,4012,,,,,
20070926,4019,,,,,
20070927,4021,,,,,
20070928,4023,,,,,
20071001,4037,,,,,
20071002,4052,,,,,
20071003,4058,,,,,
20071004,4075,,,,,
20071005,4080,,,,,
20071008,4105,,,,,
20071009,4113,,,,,
20071010,4121,,,,,
20071011,4136,,,,,
20071012,4134,,,,,
20071015,4147,,,,,
20071016,4156,,,,,
20071017,4167,,,,,
20071018,4171,,,,,
20071019,4160,,,,,
20071022,4183,,,,,
20071023,4196,,,,,
20071024,4192,,,,,
20071025,4205,,,,,
20071026,4206,,,,,
20071029,4224,,,,,
20071030,4221,,,,,
20071031,4238,,,,,
20071101,4251,,,,,
20071102,3942,,,,,
20071105,4265,,,,,
20071106,4277,,,,,
20071107,4285,,,,,
20071108,4291,,,,,
20071109,4278,,,,,
20071112,4307,,,,,
20071113,4324,,,,,
20071114,4318,,,,,
20071115,4336,,,,,
20071116,4334,,,,,
20071119,4375,,,,,
20071120,2341,,,,,
20071121,904,,,,,
20071122,1094,,,,,
20071123,4195,,,,,
20071126,4415,,,,,
20071127,4424,,,,,
20071128,4434,,,,,
20071129,4441,,,,,
20071130,4439,,,,,
20071203,4464,,,,,
20071204,4475,,,,,
20071205,4475,,,,,
20071206,4490,,,,,
20071207,4487,,,,,
20071210,4502,,,,,
20071211,4510,,,,,
20071212,4515,,,,,
20071213,4528,,,,,
20071214,4528,,,,,
20071217,4541,,,,,
20071218,4544,,,,,
20071219,4553,,,,,
20071220,4567,,,,,
20071221,4566,,,,,
20071224,4572,,,,,
20071225,4579,,,,,
20071226,4577,,,,,
20071227,4591,,,,,
20071228,4596,,,,,
20071231,4612,,,,,
20080101,4618,,,,,
20080102,4628,,,,,
20080103,4650,,,,,
20080104,4647,,,,,
20080107,4669,,,,,
20080108,4681,,,,,
20080109,4688,,,,,
20080110,4696,,,,,
20080111,4699,,,,,
20080114,4711,,,,,
20080115,4720,,,,,
20080116,4594,,,,,
20080117,7,,,,,
20080118,4462,,,,,
20080121,4751,,,,,
20080122,4754,,,,,
20080123,4754,,,,,
20080124,4773,,,,,
20080125,4768,,,,,
20080128,4777,,,,,
20080129,4784,,,,,
20080130,4792,,,,,
20080131,4801,,,,,
20080201,4790,,,,,
20080204,4815,,,,,
20080205,4835,,,,,
20080206,4836,,,,,
20080207,4846,,,,,
20080208,4846,,,,,
20080211,4873,,,,,
20080212,4883,,,,,
20080213,4883,,,,,
20080214,4905,,,,,
20080215,4897,,,,,
20080218,4913,,,,,
20080219,4919,,,,,
20080220,4932,,,,,
20080221,4939,,,,,
20080222,4929,,,,,
20080225,4959,,,,,
20080226,4973,,,,,
20080227,4968,,,,,
20080228,4976,,,,,
20080229,4972,,,,,
20080303,5013,,,,,
20080304,5013,,,,,
20080305,5016,,,,,
20080306,5031,,,,,
20080307,5007,,,,,
20080310,5037,,,,,
20080311,5022,,,,,
20080312,4834,,,,,
20080313,4869,,,,,
20080314,5043,,,,,
20080317,5077,,,,,
20080318,5093,,,,,
20080319,5095,,,,,
20080320,5104,,,,,
20080321,5088,,,,,
20080324,5013,,,,,
20080325,4971,,,,,
20080326,4558,,,,,
20080327,3942,,,,,
20080328,4052,,,,,
20080331,5179,,,,,
20080401,5002,,,,,
20080402,5041,,,,,
20080403,4807,,,,,
20080404,5178,,,,,
20080407,5010,,,,,
20080408,4854,,,,,
20080409,4850,,,,,
20080410,3772,,,,,
20080411,4486,,,,,
20080414,5063,,,,,
20080415,4198,,,,,
20080416,3951,,,,,
20080417,4491,,,,,
20080418,4850,,,,,
20080421,4683,,,,,
20080422,2704,,,,,
20080423,4019,,,,,
20080424,4035,,,,,
20080425,4754,,,,,
20080428,2967,,,,,
20080429,3597,,,,,
20080430,4341,,,,,
